Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
Lee Joon,Lee Changseon,이창선,이준,2/7/88,,South Korea,,0,0,Seoul,,MBLAQ,M,,,
Thunder,Park Sanghyun,박상현,천둥,10/7/90,,South Korea,,0,0,Busan,,MBLAQ,M,,,
C.A.P,Bang Minsoo,방민수,캡,11/4/92,Teen Top,South Korea,,0,0,Seongnam,,,M,,,
Chunji,Lee Chanhee,이찬희,천지,10/5/93,Teen Top,South Korea,,0,0,Seongnam,,,M,,,
L.Joe,Lee Byunghun,이병헌,엘조,11/23/93,,South Korea,,0,0,Gunsan,,Teen Top,M,,,
Niel,Ahn Daniel,안다니엘,니엘,8/16/94,Teen Top,South Korea,,0,0,Anyang,,,M,,,
Ricky,Yoo Changhyun,유창현,리키,2/27/95,Teen Top,South Korea,,0,0,Seoul,,,M,,,
Changjo,Choi Jonghyun,최종현,창조,11/16/95,Teen Top,South Korea,,0,0,Chuncheon,,,M,,,
MJ,Kim Myungjun,김명준,엠제이,3/5/94,ASTRO,South Korea,,0,0,Nowon,,,M,,,
Jin Jin,Park Jinwoo,박진우,진진,3/15/96,ASTRO,South Korea,,0,0,Nowon,,,M,,,
Eunwoo,Cha Eunwoo,차은우,은우,3/30/97,ASTRO,South Korea,,0,0,Gunpo,,,M,,,
Moon Bin,Moon Bin,문빈,문빈,1/26/98,ASTRO,South Korea,,0,0,Cheongju,,,M,,,
Rocky,Park Minhyuk,박민혁,라키,2/25/99,ASTRO,South Korea,,0,0,Jinju,,,M,,,
Sanha,Yoon Sanha,윤산하,산하,3/21/00,ASTRO,South Korea,,0,0,Seoul,,,M,,,
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,2/23/88,ZE:A,South Korea,Australia,0,0,Sydney,,,M,,,
Kwanghee,Hwang Kwanghee,황광희,광희,8/25/88,ZE:A,South Korea,,0,0,Paju,,,M,,,
Siwan,Yim Siwan,임시완,시완,12/1/88,ZE:A,South Korea,,0,0,Busan,,,M,,,
Lee Hoo,Moon Junyoung,문준영,,2/9/89,ZE:A,South Korea,,0,0,Seoul,,,M,,,
Taeheon,Kim Taeheon,김태헌,태헌,6/18/89,ZE:A,South Korea,,0,0,Gwangju,,,M,,,
Heechul,Jung Heechul,정희철,희철,12/9/89,ZE:A,South Korea,,0,0,Jeju,,,M,,,
Minwoo,Ha Minwoo,하민우,민우,9/6/90,ZE:A,South Korea,,0,0,Yangsan,,,M,,,
Hyungsik,Park Hyungsik,박형식,형식,11/16/91,ZE:A,South Korea,,0,0,Yongin,,,M,,,
Dongjun,Kim Dongjun,김동준,동준,2/11/92,ZE:A,South Korea,,0,0,Busan,,,M,,,
Shownu,Son Hyunwoo,손현우,셔누,6/18/92,MONSTA X,South Korea,,0,0,,,,M,,,
Wonho,Shin Hoseok,신호석,원호,3/1/93,,South Korea,,0,0,Anyang,,MONSTA X,M,,,
Minhyuk,Lee Minhyuk,이민혁,민혁,11/3/93,MONSTA X,South Korea,,0,0,,,,M,,,
Kihyun,Yoo Kihyun,유기현,기현,11/22/93,MONSTA X,South Korea,,0,0,Goyang,,,M,,,
Hyungwon,Chae Hyungwon,채형원,형원,1/15/94,MONSTA X,South Korea,,0,0,Gwangju,,,M,,,
Jooheon,Lee Jooheon,이주헌,주헌,10/6/94,MONSTA X,South Korea,,0,0,Daegu,,,M,,,
I.M,Lim Changkyun,임창균,아이엠,1/26/96,MONSTA X,South Korea,,0,0,Gwangju,,,M,,,
Rain,Jung Jihoon,정지훈,비,6/25/82,,South Korea,,0,0,Seosan,,,M,,,
PSY,Park Jaesang,박재상,싸이,12/31/77,,South Korea,,0,0,Seoul,,,M,,,
Gunwoo,Lee Gunwoo,이건우,건우,1/30/89,MYNAME,South Korea,,0,0,Daejeon,,,M,,,
Insoo,Kang Insoo,강인수,인수,3/10/88,MYNAME,South Korea,,0,0,Suwon,,,M,,,
Seyong,Kim Seyong,김세용,세용,11/20/91,MYNAME,South Korea,,0,0,Busan,,,M,,,
JunQ,Kang Junkyu,강준규,준규,8/9/93,MYNAME,South Korea,,0,0,Uljeongbu,,,M,,,
Chaejin,Chae Jinseok,채진석,채진,12/26/95,MYNAME,South Korea,,0,0,Seoul,,,M,,,
Chungha,Kim Chungha,김청하,청하,2/9/96,,South Korea,,0,0,Dallas,,I.O.I,F,,,
Sohye,Kim Sohye,김소혜,소혜,7/19/99,,South Korea,,0,0,Seoul,,I.O.I,F,,,
Yoojung,Choi Yoojung,최유정,유정,11/12/99,Weki Meki,South Korea,,0,0,Guri,"I.O.I, WJMK",,F,,,
Doyeon,Kim Doyeon,김도연,도연,12/4/99,Weki Meki,South Korea,,0,0,Incheon,"I.O.I, WJMK",,F,,,
Somi,Jeon Somi,전소미,소미,3/9/01,,South Korea,Canada,0,0,Ontario,,I.O.I,F,,,
Jinu,Kim Jinwoo,김진우,진우,9/26/91,WINNER,South Korea,,0,0,Imja,,,M,,,
Hoony,Lee Seunghoon,이승훈,승훈,1/11/92,WINNER,South Korea,,0,0,Busan,,,M,,,
Yoon,Kang Seungyoon,강승윤,승윤,1/21/94,WINNER,South Korea,,0,0,Busan,,,M,,,
Mino,Song Minho,송민호,민호,3/30/93,WINNER,South Korea,,0,0,Yongin,,,M,,,
Taehyun,Nam Taehyun,남태현,태현,5/10/94,,South Korea,,0,0,Hanam,,WINNER,M,,,
B.I,Kim Hanbin,김한빈,비아이,10/22/96,,South Korea,,0,0,Goyang,,iKON,M,,,
Jay,Kim Jinhwan,김진환,제이,2/7/94,iKON,South Korea,,0,0,Jeju,,,M,,,
Song,Song Yunhyeong,송윤형,송,2/8/95,iKON,South Korea,,0,0,,,,M,,,
Bobby,Kim Jiwon,김지원,바비,12/21/95,iKON,South Korea,USA,0,0,Seoul,,,M,,,
DK,Kim Donghyuk,김동혁,디케이,1/3/97,iKON,South Korea,,0,0,,,,M,,,
Ju-ne,Koo Junhoe,구준회,준회,3/31/97,iKON,South Korea,,0,0,Seoul,,,M,,,
Chan,Jung Chanwoo,정찬우,찬,1/26/98,iKON,South Korea,,0,0,Yongin,,,M,,,
I,Cha Yoonji,차윤지,아이,12/2/96,,South Korea,,0,0,Busan,,,F,,,
Jae,Park Jaehyung,박제형,제이,9/15/92,DAY6,South Korea,"Argentina,USA",0,0,Buenos Aires,,,M,"Guitarist, Voca;",,
Sungjin,Park Sungjin,박성진,성진,1/16/93,DAY6,South Korea,,0,0,,,,M,Guitarist,,
Young K,Kang Young-hyun,강영현,영케이,12/19/93,DAY6,South Korea,Canada,0,0,,,,M,Bassist,,
Wonpil,Kim Wonpil,김원필,원필,4/28/94,DAY6,South Korea,,0,0,,,,M,Keyboardist,,
Dowoon,Yoon Dowoon,윤도운,도운,8/25/95,DAY6,South Korea,,0,0,,,,M,Drummer,,
Junhyeok,Kim Junhyeok,임준혁,준혁,7/17/93,,South Korea,,0,0,,,DAY6,M,Keyboardist,,
Yonghwa,Jung Yonghwa,정용화,용화,6/22/89,CNBLUE,South Korea,,0,0,Seoul,,,M,Vocal,,
Jonghyun,Lee Jonghyun,이종현,종현,5/15/90,CNBLUE,South Korea,,0,0,Busan,,,M,Guitarist,,
Minhyuk,Kang Minhyuk,강민혁,민혁,6/28/91,CNBLUE,South Korea,,0,0,Ilsan,,,M,Drummer,,
Jungshin,Lee Jungshin,이정신,정신,9/15/91,CNBLUE,South Korea,,0,0,,,,M,Bassist,,
Jonghoon,Choi Jonghoon,최종훈,종훈,3/7/90,FTISLAND,South Korea,,0,0,Seoul,,,M,Guitarist,,
Honggi,Lee Honggi,이홍기,홍기,3/2/90,FTISLAND,South Korea,,0,0,Gwangju,,,M,Vocal,,
Jaejin,Lee Jaejin,이재진,재진,12/17/91,FTISLAND,South Korea,,0,0,Cheongju,,,M,Bassist,,
Seunghyun,Song Seungyun,송승현,승현,8/21/92,FTISLAND,South Korea,,0,0,Seoul,,,M,Guitarist,,
Minhwan,Choi Minhwan,최민환,민환,11/11/92,FTISLAND,South Korea,,0,0,Seoul,,,M,Drummer,,
Kwangjin,Kwon Kwangjin,권광진,광진,8/12/92,N.Flying,South Korea,,0,0,Seoul,,CNBLUE,M,Bassist,,
Seunghyub,Lee Seunghyub,이승협,승협,10/31/92,N.Flying,South Korea,,0,0,Daegu,,,M,Vocal,,
Cha Hoon,Cha Hoon,차훈,차훈,7/12/94,N.Flying,South Korea,,0,0,Seoul,,,M,Guitar,,
Jaehyun,Kim Jaehyun,김재현,재현,7/15/94,N.Flying,South Korea,,0,0,Seoul,,,M,Drummer,,
Inseong,Kim Inseong,김인성,인성,7/12/93,SF9,South Korea,,0,0,,,,M,,,
Youngbin,Kim Youngbin,김영빈,영빈,11/23/93,SF9,South Korea,,0,0,,,,M,,,
Jaeyoon,Lee Jaeyoon,이재윤,재윤,8/9/94,SF9,South Korea,,0,0,,,,M,,,
Dawon,Lee Sanghyuk,이상혁,다원,7/24/95,SF9,South Korea,,0,0,,,,M,,,
Zuho,Bae Juho,백주호,주호,7/4/96,SF9,South Korea,,0,0,,,,M,,,
Rowoon,Kim Seokwoo,김석우,로운,8/7/96,SF9,South Korea,,0,0,,,,M,,,
Taeyang,Yoo Taeyang,유태양,태양,2/28/97,SF9,South Korea,,0,0,,,,M,,,
Hwiyoung,Kim Youngkyun,김영균,휘영,5/11/99,SF9,South Korea,,0,0,,,,M,,,
Chani,Kang Chanhee,강찬희,찬희,1/17/00,SF9,South Korea,,0,0,,,,M,,,
Johyun,Shin Jiwon,신지원,조현,4/14/96,Berry Good,South Korea,,0,0,,,,F,,,
Serri,Park Miyeon,박미연,세리,9/16/90,Dal Shabet,South Korea,,0,0,Seoul,,,F,,,
Ahyoung,Cho Jayoung,조자영,아영,5/26/91,Dal Shabet,South Korea,,0,0,Seoul,,,F,,,
Woohee,Bae Woohee,배우희,우희,11/21/91,Dal Shabet,South Korea,,0,0,Busan,UNI.T,,F,,,
Subin,Park Subin,박수빈,수빈,2/12/94,Dal Shabet,South Korea,,0,0,Gwangju,,,F,,,
Jiyul,Yang Jungyoon,양정윤,지율,7/30/91,,South Korea,,0,0,Seoul,,Dal Shabet,F,,,
Gaeun,Cho Kaeun,조가은,가은,7/28/92,,South Korea,,0,0,Changwon,,Dal Shabet,F,,,
Viki,Kang Eunhye,강은혜,비키,3/28/88,,South Korea,,0,0,Seoul,,Dal Shabet,F,,,
Haeri,Lee Haeri,이해리,해리,2/14/85,Davichi,South Korea,,0,0,Seoul,,,F,,,
Minkyung,Kang Minkyung,강민경,민경,8/3/90,Davichi,South Korea,,0,0,Goyang,,,F,,,
Sulli†,Choi Jinri,최진리,설리,3/29/94,,South Korea,,0,0,Busan,,f(x),F,,,
Ashley,Ashley Choi,애슐리 최,애슐리,11/9/91,Ladies' Code,South Korea,USA,0,0,Incheon,,,F,,,
Sojung,Lee Sojung,이소정,소정,9/3/93,Ladies' Code,South Korea,,0,0,Wonju,,,F,,,
Zuny,Kim Joomi,김주미,주니,12/8/94,Ladies' Code,South Korea,,0,0,Gwangju,,,F,,,
Yunji,Lee Yunji,이윤지,윤지,4/4/92,Playback,South Korea,,0,0,,,,F,,,
Hayoung,Lee Hayoung,이하영,하영,8/3/93,Playback,South Korea,,0,0,,,,F,,,
Yujin,Seo Yoojin,소유진,유진,6/18/94,Playback,South Korea,,0,0,,,,F,,,
Woolim,Hwang Woolim,황우림,우림,8/29/96,Playback,South Korea,,0,0,,,,F,,,
Red,Lee Heejin,이희진,빨강,7/10/91,Pungdeng-E,South Korea,,163,0,Daegu,,,F,,,
Yellow,Kim Eunbi,김은비,노랑,5/5/93,Pungdeng-E,South Korea,,156,0,Seoul,,,F,,,
Blue,Jung Gahee,정가희,파랑,1/18/94,Pungdeng-E,South Korea,,161,0,Gwangju,,,F,,,
Jaekyung,Kim Jaekyung,김재경,재경,12/24/88,Rainbow,South Korea,,168,45,Seoul,Rainbow Blaxx,,F,,,
Woori,Go Woori,고우리,우리,2/22/88,Rainbow,South Korea,,165,44,Jeonju,Rainbow Blaxx,,F,,,
Seungah,Oh Seungah,오승아,승아,9/13/88,Rainbow,South Korea,,167,45,Seoul,"Rainbow Blaxx, Rainbow Pixie",,F,,,
Noeul,No Eul,노을,노을,5/10/89,Rainbow,South Korea,,164,44,Jeonju,,,F,,,
Yoonhye,Jung Yoonhye,정윤혜,윤혜,4/14/90,Rainbow,South Korea,,166,47,Daejeon,,,F,,,
Jisook,Kim Jisook,김지숙,지숙,7/18/90,Rainbow,South Korea,,164,41,Suwon,Rainbow Pixie,,F,,,
Hyunyoung,Cho Hyunyoung,조현영,현영,8/11/91,Rainbow,South Korea,,160,41,Seoul,"Rainbow Blaxx, Rainbow Pixie",,F,,,
J-Hoon,Lim Junghoon,임정훈,제이훈,7/15/90,B.I.G,South Korea,,172,62,Seoul,,,M,,,
Benji,Baek Jaewook,배제욱,벤지,5/3/92,B.I.G,USA,South Korea,183,72,Indianapolis,,,M,,,
Gunmin,Lee Gunmin,이건민,건민,10/3/94,B.I.G,South Korea,,177,64,Gangwon,,,M,,,
Minpyo,Gook Minpyo,국민표,민표,11/15/94,B.I.G,South Korea,,173,57,Gwangju,,,M,,,
Heedo,Yoon Heedo,유희도,희도,4/22/96,B.I.G,South Korea,,180,60,Seoul,,,M,,,
Vivi,Wong Viian,황가희,비비,12/9/96,LOONA,Hong Kong,,0,0,Hong Kong,Loona 1/3,,F,,,
Minjae,Shin Minjae,신민재,민재,8/13/91,Tahiti,South Korea,,0,0,Busan,,,F,,,
Miso,Park Miso,박미소,미소,4/4/91,Tahiti,South Korea,,0,0,Gwangju,,,F,,,
Jerrry,Ahn Sohyun,안소현,제리,8/27/92,Tahiti,South Korea,,0,0,Seoul,,,F,,,
Jisoo,Shin Jisoo,신지수,지수,2/28/94,Tahiti,South Korea,,0,0,Chuncheon,,,F,,,
Ari,Kim Sunyoung,김선영,아리,10/23/94,Tahiti,South Korea,,0,0,Daegu,,,F,,,
Sihyun,Park Sihyun,박시현,시현,11/29/86,SPICA,South Korea,,0,0,,SPICA-S,SPICA,F,,,
Boa,Kim Boah,김보아,보아,1/14/87,KEEMBO,South Korea,,0,0,,,SPICA,F,,,
Narae,Park Narae,박나래,나래,2/23/88,SPICA,South Korea,,0,0,Incheon,SPICA-S,SPICA,F,,,
Jiwon,Yang Jiwon,양지원,지원,4/5/88,UNI.T,South Korea,,0,0,Seoul,SPICA-S,SPICA,F,,,
Bohyung,Kim Bohyung,김보형,보형,3/31/91,KEEMBO,South Korea,,0,0,,SPICA-S,SPICA,F,,,
Gayoung,Kim Gayoung,김가영,가영,12/2/91,Stellar,South Korea,,0,0,Seoul,,,F,,,
Minhee,Joo Minhee,주민희,민희,1/3/93,Stellar,South Korea,,0,0,Seoul,,,F,,,
Hyeoeun,Lee Hyoeun,이효은,효은,3/16/93,Stellar,South Korea,,0,0,Seoul,,,F,,,
Jeonyul,Jeon Yuri,전유리,전율,3/20/94,Stellar,South Korea,,0,0,Seoul,,,F,,,
Jiyou,Im Changsook,임창숙,지유,6/15/89,Two X,South Korea,,0,0,,,,F,,,
Eun,Choi Eunmi,최은미,은,5/14/90,Two X,South Korea,,0,0,,,,F,,,
Surin,Kim Surin,김수린,수린,12/27/91,Two X,South Korea,,0,0,,,,F,,,
Eunyoung,Joo Eunyoung,주은영,은영,6/12/92,Two X,South Korea,,0,0,,,,F,,,
Nari,Kim Nari,김나리,나리,10/5/92,Wassup,South Korea,,0,0,,,,F,,,
Jiae,Kim Jiae,김지애,지애,10/31/95,Wassup,South Korea,,0,0,,,,F,,,
Sujin,Bang Sujin,방수진,수진,6/26/96,Wassup,South Korea,,0,0,,,,F,,,
Woojoo,Kim Woojoo,김우주,우주,8/12/96,Wassup,South Korea,,0,0,,,,F,,,
Jinju,Park Jinju,박진주,진주,4/28/90,,South Korea,,0,0,,,Wassup,F,,,
Dain,Song Jieun,송지은,다인,6/25/90,,South Korea,,0,0,,,Wassup,F,,,
Nada,Yoon Yejin,윤예진,나다,5/24/91,,South Korea,,0,0,,,Wassup,F,,,
Minwoo†,Seo Minwoo,서민우,민우,2/8/85,100%,South Korea,,0,0,Daegu,,,M,,,
Rokhyun,Kim Rokhyun,김록현,록현,2/10/91,100%,South Korea,,0,0,Suncheon,,,M,,,
Jonghwan,Jo Jonghwan,조종환,종환,11/23/92,100%,South Korea,,0,0,Seoul,,,M,,,
Chanyong,Kim Chanyong,김찬용,찬용,4/29/93,100%,South Korea,,0,0,Suwon,,,M,,,
Hyukjin,Jang Hyukjin,장혁진,혁진,12/20/93,100%,South Korea,,0,0,Busan,,,M,,,
Sanghoon,Lee Sanghoon,이상훈,상훈,12/23/93,,South Korea,,0,0,Cheongju,,100%,M,,,
Changbum,Woo Changbum,우창범,창범,10/7/93,,South Korea,,0,0,Sokcho,,100%,M,,,
Cory,Hong Joohyung,홍주현,코리,11/25/90,24K,South Korea,USA,175,58,Daegu,,,M,,,
Sungoh,Yoo Sungoh,유성오,성오,1/8/91,,South Korea,,0,0,,,24K,M,,,
Kisu,Choi Kisu,최기수,기수,10/2/90,24K,South Korea,,179,60,Seoul,,,M,,,
Daeil,Kim Daeil,김대일,대일,5/10/92,,South Korea,,0,0,Busan,,24K,M,,,
Jeonguk,Kim Jeonguk,김정욱,정욱,3/20/93,24K,South Korea,,178,58,Busan,,,M,,,
Hui,Liang Hui,양휘,양휘,7/18/95,24K,China,,178,58,,,,M,,,
Changsun,Lee Changsun,이창선,창선,3/17/96,24K,South Korea,,179,58,,,,M,,,
Jinhong,Kim Jinhong,김진홍,진홍,1/2/98,24K,South Korea,,180,53,Seoul,,,M,,,
Hongseob,Shim Hongseob,심홍섭,홍섭,1/8/98,24K,South Korea,,177,58,,,,M,,,
Onejunn,Jo Wonjun,조원준,원준,11/22/88,Boys Republic,South Korea,,179,61,Changwon,,,M,,,
Sunwoo,Choi Sunwoo,최선우,선우,3/12/92,Boys Republic,South Korea,,183,65,Seoul,,,M,,,
Sungjun,Park Sungjun,박성준,성준,12/17/92,Boys Republic,South Korea,,175,55,Ansan,,,M,,,
Minsu,Park Minsu,김민수,민수,4/15/93,Boys Republic,South Korea,,172,55,Gwangju,,,M,,,
Suwoong,Lee Suwoong,이수웅,수웅,1/20/95,Boys Republic,South Korea,,174,56,,,,M,,,
JB,Im Jaebum,임재범,제이비,1/6/94,GOT7,South Korea,,179,63,Goyang,,,M,,,
Mark,Mark Yien Tuan,마크 이엔 투안,마크,9/4/93,GOT7,USA,Taiwan,175,59,Los Angeles,,,M,,,
Jackson,Jackson Wang,잭슨 왕,잭슨,3/28/94,GOT7,Hong Kong,,174,63,Hong Kong,,,M,,,
Jinyoung,Park Jinyoung,박진영,진영,9/22/94,GOT7,South Korea,,178,63,Changwon,,,M,,,
Youngjae,Choi Youngjae,최영재,영재,9/17/96,GOT7,South Korea,,175,59,Mokpo,,,M,,,
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,5/2/97,GOT7,Thailand,,170,52,Bangkok,,,M,,,
Yugyeom,Kim Yugyeom,김유겸,유겸,11/17/97,GOT7,South Korea,,180,64,Namyangju,,,M,,,
Aron,Kwak Youngmin,곽영민,아론,5/21/93,NU'EST,South Korea,USA,0,0,California,NU'EST W,,M,,,
JR,Kim Jonghyun,김종현,제이알,6/8/95,NU'EST,South Korea,,0,0,Gangwon,NU'EST W,,M,,,
Baekho,Kang Dongho,강동호,백호,7/21/95,NU'EST,South Korea,,0,0,Jeju,NU'EST W,,M,,,
Minhyun,Hwang Minhyun,황민현,민현,8/9/95,NU'EST,South Korea,,0,0,Busan,NU'EST,Wanna One,M,,,
Ren,Choi Minki,최민기,렌,11/3/95,NU'EST,South Korea,,0,0,Busan,NU'EST W,,M,,,
Junhyuk,Choi Junhyuk,최준혁,준혁,4/21/92,HOTSHOT,South Korea,,0,0,Ulsan,,,M,,,
Timoteo,Kim Moongyu,김문규,티모테오,1/25/93,HOTSHOT,South Korea,,0,0,,,,M,,,
Taehyun,Noh Taehyun,노태현,태현,10/15/93,HOTSHOT,South Korea,,0,0,Seoul,JBJ,,M,,,
Sungwoon,Ha Sungwoon,하성운,성운,3/22/94,Wanna One,South Korea,,0,0,Goyang,HOTSHOT,,M,,,
Yoonsan,Yoon Sanghyuk,윤상혁,윤산,8/22/94,HOTSHOT,South Korea,,0,0,,,,M,,,
Hojung,Go Hojung,고호정,호정,10/20/94,HOTSHOT,South Korea,,0,0,,,,M,,,
Jisung,Yoon Jisung,윤지성,지성,3/8/91,Wanna One,South Korea,,0,0,Wonju,,,M,,,
Seongwu,Ong Seunwu,옹성우,성우,8/25/95,Wanna One,South Korea,,0,0,Incheon,,,M,,,
Jaehwan,Kim Jaehwan,김재환,재환,5/27/96,Wanna One,South Korea,,0,0,Seoul,,,M,,,
Daniel,Kang Daniel,강다니엘,다니엘,12/10/96,Wanna One,South Korea,,0,0,Busan,,,M,,,
Jihoon,Park Jihoon,박지훈,지훈,5/29/99,Wanna One,South Korea,,0,0,Masan,,,M,,,
Woojin,Park Woojin,박우진,우진,11/2/99,AB6IX,South Korea,,0,0,Busan,,Wanna One,M,,,
Jinyoung,Bae Jinyoung,배진영,진영,5/10/00,CIX,South Korea,,0,0,Seoul,,Wanna One,M,,,
Daehwi,Lee Daehwi,이대휘,대휘,1/29/01,AB6IX,South Korea,,0,0,Seoul,,Wanna One,M,,,
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,9/23/01,Wanna One,Taiwan,,0,0,New Taipei,,,M,,,
Jueun,Lee Jooeun,이주은,주은,7/7/95,DIA,South Korea,,0,0,Suwon,BinChaenHyunSeuS,,F,,,
Somyi,Ahn Somyi,안솜이,솜이,1/26/00,DIA,South Korea,,0,0,Changwon,L.U.B,,F,,,
Daisy,Yoo Jeongahn,유정안,데이지,1/22/99,,South Korea,,0,0,Seoul,,MOMOLAND,F,,,
Taeha,Kim Taeha,김태하,태하,6/3/98,,South Korea,,0,0,Jeonju,,MOMOLAND,F,,,
Hyojin,Kim Hyojin,김효진,효진,4/22/94,ONF,South Korea,,0,0,Seoul,,,M,,,
E-tion,Lee Changyoon,이창윤,이션,12/24/94,ONF,South Korea,,0,0,Jeonju,,,M,,,
J-Us,Lee Seungjoon,이승준,제이어스,1/13/95,ONF,South Korea,,0,0,Seoul,,,M,,,
Wyatt,Shim Jaeyoung,심재영,와이엇,1/23/95,ONF,South Korea,,0,0,Seoul,,,M,,,
MK,Park Minkyun,박민균,엠케이,11/16/95,ONF,South Korea,,0,0,Ilsan,,,M,,,
U,Mizuguchi Yuto,미즈구치 유토,유,3/16/99,ONF,Japan,,0,0,Osaka,,,M,,,
Laun,Kim Minseok,김민석,라운,8/12/99,,South Korea,,0,0,Seongsan,,ONF,M,,,
Donghun,Lee Donghun,이동훈,동훈,5/15/93,A.C.E,South Korea,,0,0,Suncheon,,,M,,,
Wow,Kim Seyoon,김세윤,와우,2/28/93,A.C.E,South Korea,,0,0,Gyeonggi,,,M,,,
Jun,Park Junhee,박준희,준,6/2/94,A.C.E,South Korea,,0,0,Jeolla,,,M,,,
Jason,Kim Byeongkwan,김병관,제이슨,8/13/96,A.C.E,South Korea,,0,0,Seoul,,,M,,,
Chan,Kang Yoochan,강유찬,찬,12/31/97,A.C.E,South Korea,,0,0,Jeju,UNB,,M,,,
Suyeon,Ji Suyeon,지수연,수연,4/20/97,Weki Meki,South Korea,,0,0,,,,F,,,
Elly,Jung Haerim,정해림,엘리,7/20/98,Weki Meki,South Korea,,0,0,,,,F,,,
Sei,Lee Seojung,이서정,세이,1/7/00,Weki Meki,South Korea,,0,0,,,,F,,,
Lua,Kim Sookyung,김수경,루아,10/6/00,Weki Meki,South Korea,,0,0,,,,F,,,
Rina,Kang Soeun,강소은,리나,9/27/01,Weki Meki,South Korea,,0,0,,,,F,,,
Lucy,Noh Hyojung,노효정,루시,8/31/02,Weki Meki,South Korea,,0,0,Goyang,,,F,,,
Hweseung,Yoo Hweseung,유회승,회승,2/28/95,N.Flying,South Korea,,0,0,,,,M,,,
Kim Lip,Kim Jungeun,김정은,김립,2/10/99,LOONA,South Korea,,0,0,,Loona Odd Eye Circle,,F,,,
JinSoul,Jung Jinsol,정진솔,진솔,6/13/97,LOONA,South Korea,,0,0,,Loona Odd Eye Circle,,F,,,
Choerry,Choi Yerim,최예림,최리,6/4/01,LOONA,South Korea,,0,0,,Loona Odd Eye Circle,,F,,,
Do-A,Choi Yuna,최윤아,도아,2/2/99,ALICE,South Korea,,0,0,,,,F,,,
Yeonje,Yang Yeonje,양연제,혜성,10/15/99,ALICE,South Korea,,0,0,,,,F,,,
Yukyung,Lee Yukyung,이유경,유경,11/5/99,ALICE,South Korea,,0,0,,,,F,,,
Sohee,Kim Sohee,김소희,소희,12/31/99,ALICE,South Korea,,0,0,,,,F,,,
Karin,Min Karin,민가린,가린,1/5/02,ALICE,South Korea,,0,0,,,,F,,,
Rui,Watanabe Rui,와타나베 루이,루이,10/8/94,H.U.B,Japan,,0,0,,,N-Bulance,F,,,
Gracie,Kim Gaeun,김가운,그레이시,10/28/96,H.U.B,South Korea,,0,0,,,,F,,i.m_gracie,
Yuem,Park Subin,박수빈,유음,12/25/96,H.U.B,South Korea,,0,0,,,,F,,,
Hyosun,Lim Hyosun,임효선,효선,7/10/98,H.U.B,South Korea,,170,54,,,Kiwi Band,F,,,
Keina,Lee Yoona,이유나,케이나,2/12/99,H.U.B,South Korea,,0,0,,,,F,,,
Hyunseo,Go Hyunseo,고현서,현서,6/17/99,,South Korea,,0,0,,,G-reyish,F,,,
Shinyoung,Park Shinyoung,박신영,신영,3/19/00,G-reyish,South Korea,,0,0,,,,F,,,
Yena,Jeong Yena,정예나,예나,4/10/00,G-reyish,South Korea,,0,0,,,,F,,,
Yeso,Lee Yeso,이예소,예소,11/13/01,G-reyish,South Korea,,0,0,,,,F,,,
Haeri,Jung Haeri,정해리,해리,1/14/97,P.O.P,South Korea,,0,0,Seoul,,,F,,,
Ahyung,Kang Ahyoung,강아형,아형,8/27/96,P.O.P,South Korea,,0,0,Pohang,,,F,,,
Miso,Park Jihyun,박지현,미소,9/16/96,P.O.P,South Korea,,0,0,Busan,,,F,,,
Seol,Min Jihye,민지혜,설,1/1/97,P.O.P,South Korea,,0,0,Gunsan,,,F,,,
Yeonjoo,Song Yeonjoo,정연주,연주,6/26/97,P.O.P,South Korea,,0,0,Ansan,,,F,,,
Yeonha,Ahn Yeonji,안연지,연하,5/19/00,P.O.P,South Korea,,0,0,Yeondong,,,F,,,
Daeyeol,Lee Daeyeol,이대열,대열,2/11/93,Golden Child,South Korea,,0,0,Yongin,,,M,,,
Y,Choi Sungyoon,최성윤,와이,7/31/95,Golden Child,South Korea,,0,0,,,,M,,,
Jaeseok,Park Jaeseok,박재석,재석,11/20/95,,South Korea,,0,0,,,Golden Child,M,,,
Jangjun,Lee Jangjun,이장준,장준,3/3/97,Golden Child,South Korea,,0,0,,,,M,,,
TAG,Son Youngtaek,손영택,태그,4/13/98,Golden Child,South Korea,,0,0,,,,M,,,
Seungmin,Bae Seungmin,배승민,승민,10/13/98,Golden Child,South Korea,,0,0,,,,M,,,
Jaehyun,Bong Jaehyun,봉재현,재현,1/4/99,Golden Child,South Korea,,0,0,,,,M,,,
Jibeom,Kim Jibeom,김지범,지범,2/3/99,Golden Child,South Korea,,0,0,,,,M,,,
Donghyun,Kim Donghyun,김동현,동현,2/23/99,Golden Child,South Korea,,0,0,,,,M,,,
Joochan,Hong Joochan,홍주찬,주찬,7/31/99,Golden Child,South Korea,,0,0,,,,M,,,
Bomin,Choi Bomin,최보민,보민,8/24/00,Golden Child,South Korea,,0,0,,,,M,,,
